[[0. 0. 0. 0. 0. 0.]]
[[ 2.14988997e-04  1.06281524e-03 -9.26193287e-03 -1.36245880e-04
  -3.16379434e-04  5.12261056e-05]]
[[-1.72273195e-03 -1.65508721e-04 -1.02353028e-02  1.50504609e-04
  -3.32418351e-04  6.90753417e-05]]
[[-9.35000504e-04  3.66006723e-04 -8.00449443e-03  1.95894896e-04
  -4.42283206e-04  6.87295808e-05]]
[[-0.00035466  0.00054993 -0.00908289  0.00015398 -0.00033875  0.00017404]]
[[ 1.06251107e-03  1.90278956e-03 -8.60370659e-03  5.17002607e-05
  -3.82758282e-04  1.47540438e-04]]
[[ 2.76679625e-06  1.66161591e-03 -8.25610876e-03  4.56433162e-04
  -3.63465029e-04  7.59140416e-05]]
[[-1.43701414e-03  5.72931208e-04 -9.54522452e-03  3.01824590e-04
  -4.31446313e-04  4.71168318e-05]]
[[-3.13613695e-04  9.60063045e-04 -1.08370372e-02  2.27010988e-04
  -3.30846526e-04  1.62968642e-05]]
[[-9.67466960e-04 -1.59063741e-03 -1.16489022e-02  1.26757925e-04
  -3.26060555e-04 -1.39979704e-05]]
[[-0.21153667  0.07120963  0.13536095  0.02725274  0.14875325  0.00460976]]
[[-0.21109753  0.07231707  0.1358983   0.02767833  0.14854405  0.00459137]]
[[-0.2115418   0.07371412  0.13649201  0.027695    0.14855803  0.00462048]]
[[-0.2104143   0.07093065  0.1344637   0.02742497  0.14857557  0.00460352]]
[[-0.21023654  0.07100237  0.13566329  0.02725249  0.14869349  0.004641  ]]
[[-0.20956186  0.06957709  0.13295068  0.02792635  0.14868159  0.00455609]]
[[-0.20937502  0.06875247  0.13342861  0.02791492  0.14859749  0.00456986]]
[[-0.20929918  0.06820659  0.13295458  0.02748219  0.14880575  0.00457502]]
[[-0.20785003  0.07043944  0.13081396  0.02765231  0.14880033  0.00452526]]
[[-0.2088825   0.06905767  0.12965278  0.02765838  0.14866064  0.00457858]]
[[-0.20745205  0.06950884  0.13243768  0.02788252  0.14860399  0.00451024]]
[[-0.2058343   0.06849979  0.13157816  0.02739004  0.14878106  0.00452403]]
[[-0.20559624  0.06934745  0.1309556   0.02737218  0.14867875  0.00451574]]
[[-0.20559655  0.07067259  0.13188381  0.02824376  0.14861946  0.00443551]]
[[-0.20587092  0.07122508  0.13166189  0.0277754   0.14872659  0.00448441]]
[[-0.2054281   0.07255664  0.13199736  0.02751266  0.14891902  0.00453043]]
[[-0.20338697  0.07287463  0.13270623  0.02734372  0.14889678  0.00452936]]
[[-0.20273302  0.0740359   0.13313295  0.02761515  0.14882226  0.00457247]]
[[-0.20122166  0.07589479  0.13570163  0.02745385  0.1489632   0.00458919]]
[[-0.19963257  0.07662803  0.13750865  0.02756901  0.14885005  0.00466052]]
[[-0.20222647  0.07612939  0.14004344  0.0274795   0.14880052  0.00465745]]
[[-0.20149458  0.07709153  0.14145668  0.02772875  0.14878691  0.00455337]]
[[-0.20102747  0.07607208  0.14147094  0.02750727  0.14871947  0.00455232]]
[[-0.20055901  0.07419074  0.14636095  0.02746177  0.14879905  0.00457538]]
[[-0.19880891  0.07636595  0.1496235   0.02752129  0.14881811  0.00458349]]
[[-0.20207142  0.07747721  0.15184045  0.02739202  0.1486452   0.00451582]]
[[-0.20444946  0.07578647  0.15424253  0.02756107  0.14881068  0.00452192]]
[[-0.20252444  0.07696155  0.15558168  0.02745024  0.14876036  0.00447167]]
[[-0.20001978  0.07602131  0.15507735  0.02753507  0.1488098   0.00454097]]
[[-0.198208    0.07989761  0.15753183  0.02770533  0.14878627  0.00455384]]
[[-0.1974373   0.0787206   0.15914665  0.02733862  0.14892678  0.00461097]]
[[-0.19710906  0.07828056  0.15848974  0.02773732  0.14861987  0.00456063]]
[[-0.19593137  0.07711085  0.15938179  0.02750585  0.14870421  0.0045724 ]]
[[-0.19575136  0.0754371   0.160951    0.02769839  0.14859906  0.00457029]]
[[-0.19688972  0.07621808  0.16097047  0.02747712  0.14858844  0.00457787]]
[[-0.19691559  0.0759164   0.16095064  0.0272475   0.14882476  0.0046495 ]]
[[-0.19556908  0.07594348  0.15946033  0.02748165  0.14849308  0.00461226]]
[[-0.19620519  0.07531556  0.15920262  0.02748621  0.14841862  0.00456998]]
[[-0.19688749  0.07582679  0.15804861  0.02755351  0.14840623  0.00452313]]
[[-0.19721371  0.07741163  0.15781721  0.02714921  0.1485119   0.0045819 ]]
[[-0.19720055  0.07581637  0.15691805  0.02732143  0.14839493  0.0045195 ]]
[[-0.19641994  0.07604757  0.15834111  0.02750384  0.14836669  0.00453385]]
[[-0.19572816  0.07381389  0.15806037  0.02734496  0.14833105  0.00458018]]
[[-0.19627455  0.07397794  0.15902665  0.02713228  0.14829248  0.00450068]]
[[-0.19662123  0.07395321  0.15854153  0.0270999   0.14814     0.00462295]]
[[-0.19271095  0.07560605  0.16163543  0.02758814  0.14822045  0.00454675]]
[[-0.19206237  0.07444251  0.16203098  0.02731524  0.14833761  0.00456764]]
[[-0.19356652  0.0747992   0.16028984  0.02704617  0.14845304  0.00461923]]
[[-0.19311663  0.07456167  0.16061723  0.02726457  0.14826187  0.00459623]]
[[-0.19242015  0.07222664  0.16066213  0.0273969   0.14831796  0.00459212]]
[[-0.19169968  0.07218816  0.16375391  0.02733214  0.14813961  0.0046178 ]]
[[-0.19104496  0.07468332  0.16757773  0.02702047  0.14831789  0.0045767 ]]
[[-0.19144016  0.07619421  0.1668989   0.02730008  0.14816643  0.0045524 ]]
[[-0.19328562  0.07475642  0.16640431  0.02738248  0.14817003  0.00453757]]
[[-0.19428994  0.07588542  0.16756909  0.02730902  0.14816656  0.00457174]]
[[-0.19507886  0.07571509  0.16818989  0.02713103  0.14828984  0.00455777]]
[[-0.19689893  0.07630479  0.1681538   0.02727983  0.14815451  0.00456905]]
[[-0.19715866  0.07350216  0.16669422  0.02760057  0.148202    0.00458206]]
[[-0.19788829  0.07422715  0.16660321  0.02748056  0.14819474  0.00458584]]
[[-0.19628989  0.07491393  0.16862238  0.02734029  0.14825812  0.00466278]]
[[-0.19800029  0.0792492   0.11594806  0.02747626  0.15023637  0.00466875]]
[[-0.21140077  0.08949533 -0.01324578  0.02743537  0.16694991  0.00542506]]
[[-0.22025903  0.09381063 -0.10528452  0.02115413  0.18009921  0.00600842]]
[[-0.22789349  0.09189699 -0.17104495  0.01337983  0.18982123  0.00640897]]
[[-0.225587    0.09238388 -0.210838    0.00777172  0.19314059  0.00647753]]
[[-0.22726101  0.09190992 -0.23945894  0.00491351  0.19515569  0.00657892]]
[[-0.23075117  0.09459047 -0.25867983  0.00593249  0.19824583  0.00674947]]
[[-0.23238304  0.09530556 -0.27242024  0.00463319  0.20124229  0.00684875]]
[[-0.23161692  0.09249165 -0.27716325  0.00331455  0.20001698  0.00670897]]
[[-0.23072404  0.0935433  -0.31970695  0.00374113  0.19862034  0.00663894]]
[[-0.239133    0.10455593 -0.44706645  0.00971064  0.2058971   0.00706704]]
[[-0.2480269   0.11805028 -0.5527647   0.02324382  0.21306392  0.0076734 ]]
[[-0.25575765  0.13456597 -0.63325323  0.03898434  0.2179537   0.00817332]]
[[-0.26401637  0.15247464 -0.69373723  0.0552518   0.22258492  0.00856314]]
[[-0.26742214  0.16400694 -0.73131049  0.06734855  0.22275773  0.0087169 ]]
[[-0.26802512  0.16713546 -0.81732462  0.06665739  0.2142997   0.00983298]]
[[-0.26375206  0.16636033 -0.90398613  0.05577086  0.2058541   0.01079328]]
[[-0.26266609  0.16269609 -0.97698719  0.04320934  0.20117841  0.01211288]]
[[-0.2648894   0.1611284  -1.06210279  0.03345876  0.19842979  0.01340099]]
[[-0.26583908  0.16275697 -1.1332425   0.02720697  0.19632699  0.01411595]]
[[-0.26652357  0.16395106 -1.18651779  0.02325183  0.19400048  0.01436482]]
[[-0.26526146  0.16414253 -1.22770503  0.02092634  0.19133967  0.01435295]]
[[-0.26874     0.16489686 -1.26473012  0.01919171  0.19034906  0.01460822]]
